央视IPV4,#genre#
CHC动作电影,http://220.176.159.112:8888/udp/239.252.219.85:5140
CHC家庭影院,http://220.176.159.112:8888/udp/239.252.219.84:5140
CHCHD电影,http://220.176.159.112:8888/udp/239.252.219.83:5140
IPTV法治,http://220.176.159.112:8888/udp/239.252.220.74:5140
IPTV相声小品,http://220.176.159.112:8888/udp/239.252.220.146:5140
IPTV碟战剧场,http://220.176.159.112:8888/udp/239.252.220.145:5140
IPTV野外,http://220.176.159.112:8888/udp/239.252.220.73:5140
军事,http://220.176.159.112:8888/udp/239.252.220.206:5140
军旅剧场,http://220.176.159.112:8888/udp/239.252.220.76:5140
古装剧场,http://220.176.159.112:8888/udp/239.252.220.77:5140
喜剧影院,http://220.176.159.112:8888/udp/239.252.220.79:5140
城市剧场,http://220.176.159.112:8888/udp/239.252.220.75:5140
欢笑剧场4K,http://220.176.159.112:8888/udp/239.252.219.224:5140
武侠剧场,http://220.176.159.112:8888/udp/239.252.220.88:5140
热播剧场,http://220.176.159.112:8888/udp/239.252.220.138:5140
都市剧场HD,http://220.176.159.112:8888/udp/239.252.219.225:5140
音乐现场,http://220.176.159.112:8888/udp/239.252.220.87:5140
华数精彩影视,http://220.176.159.112:8888/udp/239.252.220.223:5140
光影,http://220.176.159.112:8888/udp/239.252.220.200:5140
动作影院,http://220.176.159.112:8888/udp/239.252.220.85:5140
动漫秀场,http://220.176.159.112:8888/udp/239.252.219.59:5140
动画,http://220.176.159.112:8888/udp/239.252.219.165:5140
卡酷少儿,http://220.176.159.112:8888/udp/239.252.219.109:5140

卫视IPV4,#genre#
三沙卫视,http://220.176.159.112:8888/udp/239.252.219.76:5140
东南卫视HD,http://220.176.159.112:8888/udp/239.252.220.82:5140
东方卫视HD,http://220.176.159.112:8888/udp/239.252.219.229:5140
云南卫视HD,http://220.176.159.112:8888/udp/239.252.219.185:5140
兵团卫视,http://220.176.159.112:8888/udp/239.252.219.107:5140
内蒙古卫视,http://220.176.159.112:8888/udp/239.252.219.48:5140
北京卫视HD,http://220.176.159.112:8888/udp/239.252.219.206:5140
厦门卫视,http://220.176.159.112:8888/udp/239.252.219.75:5140
吉林卫视HD,http://220.176.159.112:8888/udp/239.252.220.188:5140
四川卫视HD,http://220.176.159.112:8888/udp/239.252.220.93:5140
天津卫视HD,http://220.176.159.112:8888/udp/239.252.220.61:5140
宁夏卫视HD,http://220.176.159.112:8888/udp/239.252.219.104:5140
安徽卫视HD,http://220.176.159.112:8888/udp/239.252.220.83:5140
