
🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#
CCTV10 HD,http://112.66.143.196:8888/rtp/239.253.64.87:5140
CCTV10,http://112.66.143.196:8888/rtp/239.253.64.18:5140
CCTV11 HD,http://112.66.143.196:8888/rtp/239.253.64.70:5140
CCTV11,http://112.66.143.196:8888/rtp/239.253.64.19:5140
CCTV12 HD,http://112.66.143.196:8888/rtp/239.253.64.97:5140
CCTV12,http://112.66.143.196:8888/rtp/239.253.64.20:5140
CCTV13 HD,http://112.66.143.196:8888/rtp/239.253.64.59:5140
CCTV13,http://112.66.143.196:8888/rtp/239.253.64.21:5140
CCTV14 HD,http://112.66.143.196:8888/rtp/239.253.64.115:5140
CCTV14,http://112.66.143.196:8888/rtp/239.253.64.22:5140
CCTV15 HD,http://112.66.143.196:8888/rtp/239.253.64.72:5140
CCTV15,http://112.66.143.196:8888/rtp/239.253.64.23:5140
CCTV16 HD,http://112.66.143.196:8888/rtp/239.253.64.251:5140
CCTV16-4K-IPTV-25P,http://112.66.143.196:8888/rtp/239.253.64.126:5140
CCTV17 HD,http://112.66.143.196:8888/rtp/239.253.64.67:5140
CCTV17,http://112.66.143.196:8888/rtp/239.253.64.53:5140




🇨🇳🇨🇳卫视IPV6🇨🇳🇨🇳,#genre#




北京卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.204:5140
北京卫视,http://112.66.143.196:8888/rtp/239.253.64.24:5140
黑龙江卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.205:5140
黑龙江卫视,http://112.66.143.196:8888/rtp/239.253.64.42:5140
吉林卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.57:5140
吉林卫视,http://112.66.143.196:8888/rtp/239.253.64.142:5140
辽宁卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.150:5140
辽宁卫视,http://112.66.143.196:8888/rtp/239.253.64.41:5140
西藏卫视,http://112.66.143.196:8888/rtp/239.253.64.143:5140
新疆卫视,http://112.66.143.196:8888/rtp/239.253.64.146:5140
河北卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.210:5140
河北卫视,http://112.66.143.196:8888/rtp/239.253.64.39:5140
河南卫视,http://112.66.143.196:8888/rtp/239.253.64.38:5140
湖北卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.207:5140
湖北卫视,http://112.66.143.196:8888/rtp/239.253.64.33:5140
湖南卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.114:5140
湖南卫视,http://112.66.143.196:8888/rtp/239.253.64.32:5140
安徽卫视,http://112.66.143.196:8888/rtp/239.253.64.29:5140
安徽卫视HD,http://112.66.143.196:8888/rtp/239.253.64.129:5140
兵团卫视,http://112.66.143.196:8888/rtp/239.253.64.178:5140
东方卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.201:5140
东方卫视,http://112.66.143.196:8888/rtp/239.253.64.25:5140
东南卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.66:5140
东南卫视,http://112.66.143.196:8888/rtp/239.253.64.43:5140
甘肃卫视,http://112.66.143.196:8888/rtp/239.253.64.140:5140
高网,http://112.66.143.196:8888/rtp/239.253.64.250:5140
古装剧场,http://112.66.143.196:8888/rtp/239.253.64.221:5140
广东卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.200:5140
广东卫视,http://112.66.143.196:8888/rtp/239.253.64.44:5140
广西卫视,http://112.66.143.196:8888/rtp/239.253.64.45:5140
贵州卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.197:5140
贵州卫视,http://112.66.143.196:8888/rtp/239.253.64.47:5140
浙江卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.206:5140
浙江卫视,http://112.66.143.196:8888/rtp/239.253.64.28:5140
江苏卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.202:5140
江苏卫视,http://112.66.143.196:8888/rtp/239.253.64.27:5140
江西卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.56:5140
江西卫视,http://112.66.143.196:8888/rtp/239.253.64.34:5140
内蒙古卫视,http://112.66.143.196:8888/rtp/239.253.64.144:5140
宁夏卫视,http://112.66.143.196:8888/rtp/239.253.64.71:5140
宁夏卫视,http://112.66.143.196:8888/rtp/239.253.64.89:5140
青海卫视,http://112.66.143.196:8888/rtp/239.253.64.46:5140
厦门卫视SD,http://112.66.143.196:8888/rtp/239.253.64.179:5140
山东卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.208:5140
山东卫视,http://112.66.143.196:8888/rtp/239.253.64.30:5140
山西卫视,http://112.66.143.196:8888/rtp/239.253.64.31:5140
陕西卫视,http://112.66.143.196:8888/rtp/239.253.64.37:5140
深圳卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.145:5140
深圳卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.203:5140
四川卫视,http://112.66.143.196:8888/rtp/239.253.64.36:5140
旅游卫视,http://112.66.143.196:8888/rtp/239.253.64.5:5140
重庆卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.55:5140
重庆卫视,http://112.66.143.196:8888/rtp/239.253.64.35:5140
天津卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.198:5140
天津卫视,http://112.66.143.196:8888/rtp/239.253.64.40:5140
云南卫视,http://112.66.143.196:8888/rtp/239.253.64.147:5140








🐉🐉海南频道🐉🐉,#genre#





海南公共 HD,http://112.66.143.196:8888/rtp/239.253.64.14:5140
海南公共,http://112.66.143.196:8888/rtp/239.253.64.2:5140
海南少儿 HD,http://112.66.143.196:8888/rtp/239.253.64.124:5140
海南少儿,http://112.66.143.196:8888/rtp/239.253.64.4:5140
海南卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.253:5140
海南文旅 HD,http://112.66.143.196:8888/rtp/239.253.64.122:5140
海南文旅,http://112.66.143.196:8888/rtp/239.253.64.3:5140
海南新闻 HD,http://112.66.143.196:8888/rtp/239.253.64.121:5140
海南新闻,http://112.66.143.196:8888/rtp/239.253.64.11:5140
海南自贸 HD,http://112.66.143.196:8888/rtp/239.253.64.119:5140
海南自贸,http://112.66.143.196:8888/rtp/239.253.64.1:5140
琼海TV,http://112.66.143.196:8888/rtp/239.253.64.106:5140
琼中TV,http://112.66.143.196:8888/rtp/239.253.64.165:5140
三沙卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.112:5140
三沙卫视,http://112.66.143.196:8888/rtp/239.253.64.113:5140
三亚1,http://112.66.143.196:8888/rtp/239.253.64.152:5140
三亚1,http://112.66.143.196:8888/rtp/239.253.64.156:5140
三亚1台,http://112.66.143.196:8888/rtp/239.253.64.9:5140
财富天下SD,http://112.66.143.196:8888/rtp/239.253.64.217:5140
昌江TV,http://112.66.143.196:8888/rtp/239.253.64.108:5140




其他,#genre#


城市剧场,http://112.66.143.196:8888/rtp/239.253.64.218:5140
上海纪实HD,http://112.66.143.196:8888/rtp/239.253.64.149:5140
CETV1HD,http://112.66.143.196:8888/rtp/239.253.64.169:5140
CETV-1标清,http://112.66.143.196:8888/rtp/239.253.64.252:5140
CETV2SD,http://112.66.143.196:8888/rtp/239.253.64.128:5140
CETV4SD,http://112.66.143.196:8888/rtp/239.253.64.139:5140
CGTN,http://112.66.143.196:8888/rtp/239.253.64.17:5140
CGTN记录 HD,http://112.66.143.196:8888/rtp/239.253.64.58:5140
海口1台,http://112.66.143.196:8888/rtp/239.253.64.6:5140
海口1台,http://112.66.143.196:8888/rtp/239.253.64.80:5140
海口2台,http://112.66.143.196:8888/rtp/239.253.64.7:5140
海口2台,http://112.66.143.196:8888/rtp/239.253.64.82:5140
海口3台,http://112.66.143.196:8888/rtp/239.253.64.8:5140
海口3台,http://112.66.143.196:8888/rtp/239.253.64.83:5140
海南风景欣赏 720,http://112.66.143.196:8888/rtp/239.253.64.177:5140
海南风景欣赏 720,http://112.66.143.196:8888/rtp/239.253.64.52:5140
白沙TV,http://112.66.143.196:8888/rtp/239.253.64.118:5140
保亭TV,http://112.66.143.196:8888/rtp/239.253.64.159:5140
澄迈TV,http://112.66.143.196:8888/rtp/239.253.64.109:5140
儋州TV,http://112.66.143.196:8888/rtp/239.253.64.107:5140
地理,http://112.66.143.196:8888/rtp/239.253.64.219:5140
定安TV,http://112.66.143.196:8888/rtp/239.253.64.110:5140
东方TV,http://112.66.143.196:8888/rtp/239.253.64.111:5140
临高,http://112.66.143.196:8888/rtp/239.253.64.155:5140
陵水TV,http://112.66.143.196:8888/rtp/239.253.64.116:5140
IPTV3+,http://112.66.143.196:8888/rtp/239.253.64.10:5140
IPTV5+ HD,http://112.66.143.196:8888/rtp/239.253.64.125:5140
IPTV5+,http://112.66.143.196:8888/rtp/239.253.64.26:5140
IPTV8+,http://112.66.143.196:8888/rtp/239.253.64.160:5140
IPTV谍战剧场,http://112.66.143.196:8888/rtp/239.253.64.212:5140
IPTV法治,http://112.66.143.196:8888/rtp/239.253.64.213:5140
IPTV经典电影,http://112.66.143.196:8888/rtp/239.253.64.227:5140
IPTV魅力时尚,http://112.66.143.196:8888/rtp/239.253.64.231:5140
IPTV热播剧场,http://112.66.143.196:8888/rtp/239.253.64.211:5140
IPTV相声小品,http://112.66.143.196:8888/rtp/239.253.64.214:5140
IPTV野外,http://112.66.143.196:8888/rtp/239.253.64.215:5140
爱上4K,http://112.66.143.196:8888/rtp/239.253.64.243:5140
爱生活,http://112.66.143.196:8888/rtp/239.253.64.216:5140
国学,http://112.66.143.196:8888/rtp/239.253.64.222:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.103:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.130:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.131:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.132:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.133:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.134:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.135:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.136:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.180:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.181:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.182:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.183:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.184:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.185:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.186:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.187:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.188:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.189:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.190:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.191:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.192:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.193:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.194:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.226:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.63:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.74:5140
百视通,http://112.66.143.196:8888/rtp/239.253.64.77:5140
