
🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#
凤凰中文,http://121.205.69.190:8848/rtp/239.61.2.183:9086

凤凰资讯,http://121.205.69.190:8848/rtp/239.61.2.184:9092


凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8


凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8





凤凰中文,http://118.248.163.67:8888/udp/239.76.253.135:9000
凤凰中文,http://118.248.163.67:8888/udp/239.76.246.134:1234
凤凰中文,http://118.248.163.67:8888/udp/239.76.246.7:1234
凤凰资讯,http://118.248.163.67:8888/udp/239.76.253.134:9000
凤凰资讯,http://118.248.163.67:8888/udp/239.76.246.135:1234
凤凰资讯,http://118.248.163.67:8888/udp/239.76.246.8:1234

深圳卫视HD,http://118.248.163.67:8888/udp/239.76.253.188:9000
河南梨园HD,http://118.248.163.67:8888/udp/239.76.245.179:1234
河南梨园HD,http://118.248.163.67:8888/udp/239.76.252.179:9000
武术世界HD,http://118.248.163.67:8888/udp/239.76.245.181:1234
武术世界HD,http://118.248.163.67:8888/udp/239.76.252.181:9000
河南卫视HD,http://118.248.163.67:8888/udp/239.76.246.202:1234





🇨🇳🇨🇳央视IPV6🇨🇳🇨🇳,#genre#


CCTV1HD,http://118.248.163.67:8888/udp/239.76.245.51:1234
CCTV1HD,http://118.248.163.67:8888/udp/239.76.246.151:1234
CCTV2HD,http://118.248.163.67:8888/udp/239.76.246.152:1234
CCTV3HD,http://118.248.163.67:8888/udp/239.76.246.153:1234
CCTV4HD,http://118.248.163.67:8888/udp/239.76.245.195:1234
CCTV4HD,http://118.248.163.67:8888/udp/239.76.246.154:1234
CCTV5HD,http://118.248.163.67:8888/udp/239.76.246.155:1234
CCTV6HD,http://118.248.163.67:8888/udp/239.76.246.156:1234
CCTV7HD,http://118.248.163.67:8888/udp/239.76.246.157:1234
CCTV8HD,http://118.248.163.67:8888/udp/239.76.246.158:1234
CCTV9HD,http://118.248.163.67:8888/udp/239.76.246.159:1234
CCTV10HD,http://118.248.163.67:8888/udp/239.76.246.160:1234
CCTV11HD,http://118.248.163.67:8888/udp/239.76.245.251:1234
CCTV12HD,http://118.248.163.67:8888/udp/239.76.246.162:1234
CCTV13HD,http://118.248.163.67:8888/udp/239.76.246.93:1234
CCTV14HD,http://118.248.163.67:8888/udp/239.76.246.164:1234
CCTV15HD,http://118.248.163.67:8888/udp/239.76.245.252:1234
CCTV16HD,http://118.248.163.67:8888/udp/239.76.246.98:1234
CCTV17HD,http://118.248.163.67:8888/udp/239.76.245.238:1234
CCTV5+hd,http://118.248.163.67:8888/udp/239.76.246.168:1234
