
🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#
🇨🇳🇨🇳央视IPTV6🇨🇳🇨🇳,#genre#

CCTV-1,http://171.8.35.68:8800/rtp/225.1.4.1:1030
CCTV-2,http://171.8.35.68:8800/rtp/225.1.4.2:1031
CCTV-4,http://171.8.35.68:8800/rtp/225.1.4.4:1033
CCTV-7,http://171.8.35.68:8800/rtp/225.1.4.7:1036
CCTV-9,http://171.8.35.68:8800/rtp/225.1.4.9:1038
CCTV-10,http://171.8.35.68:8800/rtp/225.1.4.10:1039
CCTV-11,http://171.8.35.68:8800/rtp/225.1.4.11:1040
CCTV-12,http://171.8.35.68:8800/rtp/225.1.4.12:1041
CCTV-13,http://171.8.35.68:8800/rtp/225.1.4.13:1042
CCTV-14,http://171.8.35.68:8800/rtp/225.1.4.14:1043
CCTV-15,http://171.8.35.68:8800/rtp/225.1.4.15:1044
CCTV-17,http://171.8.35.68:8800/rtp/225.1.4.227:2507


🇨🇳🇨🇳卫视IPTV6🇨🇳🇨🇳,#genre#

河南卫视,http://171.8.35.68:8800/rtp/225.1.4.51:1080
浙江卫视,http://171.8.35.68:8800/rtp/225.1.4.19:1048
东方卫视,http://171.8.35.68:8800/rtp/225.1.4.22:1051
天津卫视,http://171.8.35.68:8800/rtp/225.1.4.24:1053
安徽卫视,http://171.8.35.68:8800/rtp/225.1.4.20:1049
山东卫视,http://171.8.35.68:8800/rtp/225.1.4.27:1056
湖北卫视,http://171.8.35.68:8800/rtp/225.1.4.35:1064
深圳卫视,http://171.8.35.68:8800/rtp/225.1.4.23:1052
黑龙江卫视,http://171.8.35.68:8800/rtp/225.1.4.28:1057
北京卫视,http://171.8.35.68:8800/rtp/225.1.4.21:1050
湖南卫视,http://171.8.35.68:8800/rtp/225.1.4.17:1046
江苏卫视,http://171.8.35.68:8800/rtp/225.1.4.18:1047
广东卫视,http://171.8.35.68:8800/rtp/225.1.4.30:1059
辽宁卫视,http://171.8.35.68:8800/rtp/225.1.4.26:1055
爱体育高清,http://171.8.35.68:8800/rtp/225.1.4.168:1220
高清纪实,http://171.8.35.68:8800/rtp/225.1.4.170:1222
东南卫视,http://171.8.35.68:8800/rtp/225.1.4.32:1061
贵州卫视,http://171.8.35.68:8800/rtp/225.1.4.41:1070
河北卫视,http://171.8.35.68:8800/rtp/225.1.4.34:1063
江西卫视,http://171.8.35.68:8800/rtp/225.1.4.37:1066
四川卫视,http://171.8.35.68:8800/rtp/225.1.4.40:1069
云南卫视,http://171.8.35.68:8800/rtp/225.1.4.33:1062
重庆卫视,http://171.8.35.68:8800/rtp/225.1.4.29:1058
吉林卫视,http://171.8.35.68:8800/rtp/225.1.4.36:1065


🇨🇳🇨🇳河南I频道高清🇨🇳🇨🇳,#genre#

河南卫视高清,http://171.8.35.68:8800/rtp/225.1.4.98:1127
河南都市频道高清,http://171.8.35.68:8800/rtp/225.1.4.52:1081
河南民生频道,http://171.8.35.68:8800/rtp/225.1.4.53:1082
河南法治频道,http://171.8.35.68:8800/rtp/225.1.4.54:1083
河南电视剧频道高清,http://171.8.35.68:8800/rtp/225.1.4.55:1084
河南新闻频道,http://171.8.35.68:8800/rtp/225.1.4.56:1085
河南欢腾购物,http://171.8.35.68:8800/rtp/225.1.4.57:1086
河南公共频道高清,http://171.8.35.68:8800/rtp/225.1.4.58:1087
河南乡村频道,http://171.8.35.68:8800/rtp/225.1.4.120:1149
河南国际频道,http://171.8.35.68:8800/rtp/225.1.4.102:1131
河南文物宝库,http://171.8.35.68:8800/rtp/225.1.4.100:1129
河南梨园频道,http://171.8.35.68:8800/rtp/225.1.4.99:1128
河南武术世界,http://171.8.35.68:8800/rtp/225.1.4.101:1130
大象新闻,http://171.8.35.68:8800/rtp/225.1.5.45:1355
驻马店新闻综合,http://171.8.35.68:8800/rtp/225.1.4.132:1168
驻马店科教频道,http://171.8.35.68:8800/rtp/225.1.4.133:1169
驻马店公共频道,http://171.8.35.68:8800/rtp/225.1.4.136:1172
西平电视台,http://171.8.35.68:8800/rtp/225.1.5.28:1340
新蔡电视台,http://171.8.35.68:8800/rtp/225.1.5.29:1341
国学频道,http://171.8.35.68:8800/rtp/225.1.4.196:1311
河南移动电视,http://171.8.35.68:8800/rtp/225.1.5.40:1350
睛彩中原,http://171.8.35.68:8800/rtp/225.1.4.163:1203
移动戏曲,http://171.8.35.68:8800/rtp/225.1.4.206:1254


🇨🇳🇨🇳其他频道🇨🇳🇨🇳,#genre#

CGTN,http://171.8.35.68:8800/rtp/225.1.4.16:1045
环球购物,http://171.8.35.68:8800/rtp/225.1.4.229:1275
家有购物,http://171.8.35.68:8800/rtp/225.1.4.223:1273
央广购物,http://171.8.35.68:8800/rtp/225.1.4.230:1276
快乐购,http://171.8.35.68:8800/rtp/225.1.4.231:1277
好享购物,http://171.8.35.68:8800/rtp/225.1.4.232:1278
风尚购物,http://171.8.35.68:8800/rtp/225.1.4.233:1279
欢腾购物,http://171.8.35.68:8800/rtp/225.1.4.236:1282


中国教育-1高清,http://171.8.35.68:8800/rtp/225.1.4.173:1712
中国教育-4,http://171.8.35.68:8800/rtp/225.1.4.171:1710
厦门卫视,http://171.8.35.68:8800/rtp/225.1.4.95:1124
金鹰纪实高清,http://171.8.35.68:8800/rtp/225.1.4.172:1711
兵团卫视,http://171.8.35.68:8800/rtp/225.1.4.97:1126
中国教育-2,http://171.8.35.68:8800/rtp/225.1.4.165:1206
爱上-4k,http://171.8.35.68:8800/rtp/225.1.4.162:1204
山东教育,http://171.8.35.68:8800/rtp/225.1.4.164:1205
体育竞技高清,http://171.8.35.68:8800/rtp/225.1.4.235:1281
网络棋牌,http://171.8.35.68:8800/rtp/225.1.4.211:1264
新动漫,http://171.8.35.68:8800/rtp/225.1.4.212:1265
篮球,http://171.8.35.68:8800/rtp/225.1.4.237:1283
音乐现场,http://171.8.35.68:8800/rtp/225.1.4.184:1224
爱生活,http://171.8.35.68:8800/rtp/225.1.4.176:1225
好学生,http://171.8.35.68:8800/rtp/225.1.4.177:1226
