🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8





深圳卫视HD,http://123.114.31.205:4000/rtp/239.3.1.134:8020
河南卫视,http://123.114.31.205:4000/rtp/239.3.1.27:8128



🇨🇳🇨🇳央视IPV6🇨🇳🇨🇳,#genre#



CCTV-1 HD,http://123.114.31.205:4000/rtp/239.3.1.129:8008
CCTV-2 HD,http://123.114.31.205:4000/rtp/239.3.1.60:8084
CCTV-3 HD,http://123.114.31.205:4000/rtp/239.3.1.172:8001
CCTV-4 HD,http://123.114.31.205:4000/rtp/239.3.1.105:8092
CCTV-5 HD,http://123.114.31.205:4000/rtp/239.3.1.173:8001
CCTV-5+ HD,http://123.114.31.205:4000/rtp/239.3.1.130:8004
CCTV-6 HD,http://123.114.31.205:4000/rtp/239.3.1.174:8001
CCTV-7 HD,http://123.114.31.205:4000/rtp/239.3.1.61:8104
CCTV-8 HD,http://123.114.31.205:4000/rtp/239.3.1.175:8001
CCTV-9 HD,http://123.114.31.205:4000/rtp/239.3.1.62:8112
CCTV-10 HD,http://123.114.31.205:4000/rtp/239.3.1.63:8116
CCTV-11 HD,http://123.114.31.205:4000/rtp/239.3.1.152:8120

CCTV-12 HD,http://123.114.31.205:4000/rtp/239.3.1.64:8124
CCTV-13 HD,http://123.114.31.205:4000/rtp/239.3.1.124:8128
CCTV-14 HD,http://123.114.31.205:4000/rtp/239.3.1.65:8132
CCTV-15 HD,http://123.114.31.205:4000/rtp/239.3.1.153:8136
CCTV-16 奥林匹克[HDR],http://123.114.31.205:4000/rtp/239.3.1.183:8001
CCTV-16 奥林匹克HD,http://123.114.31.205:4000/rtp/239.3.1.184:8001
CCTV-17 HD,http://123.114.31.205:4000/rtp/239.3.1.151:8144
CCTV-4 中文国际 欧洲HD,http://123.114.31.205:4000/rtp/239.3.1.213:4220
CCTV-4 中文国际 美洲HD,http://123.114.31.205:4000/rtp/239.3.1.214:4220
CGTN 新闻HD,http://123.114.31.205:4000/rtp/239.3.1.215:4220
CGTN 西班牙语HD,http://123.114.31.205:4000/rtp/239.3.1.217:4220
CGTN 法语HD,http://123.114.31.205:4000/rtp/239.3.1.218:4220
CGTN 阿拉伯语HD,http://123.114.31.205:4000/rtp/239.3.1.219:4220
CGTN 俄语HD,http://123.114.31.205:4000/rtp/239.3.1.220:4220





🇨🇳🇨🇳卫视IPV6🇨🇳🇨🇳,#genre#

黑龙江卫视HD,http://123.114.31.205:4000/rtp/239.3.1.133:8016
吉林卫视HD,http://123.114.31.205:4000/rtp/239.3.1.240:8172
辽宁卫视HD,http://123.114.31.205:4000/rtp/239.3.1.210:8056
天津卫视HD,http://123.114.31.205:4000/rtp/239.3.1.141:1234
内蒙古卫视,http://123.114.31.205:4000/rtp/239.3.1.43:8176
新疆卫视,http://123.114.31.205:4000/rtp/239.3.1.48:8160
兵团卫视,http://123.114.31.205:4000/rtp/239.3.1.144:4120
